id;project name;commits
58;https://github.com/packtpublishing/unity-2017-game-ai-programming-third-edition;17
59;https://github.com/packtpublishing/hands-on-game-development-patterns-with-unity-2018;47
60;https://github.com/packtpublishing/learning-c-by-developing-games-with-unity-2019;26
61;https://github.com/packtpublishing/mastering-unity-2d-game-development-second-edition;11
62;https://github.com/coding2233/unitygameframework;275
63;https://github.com/packtpublishing/learning-c-7-by-developing-games-with-unity-2017-third-edition;52
64;https://github.com/packtpublishing/getting-started-with-unity-5.x-2d-game-development;14
65;https://github.com/neuecc/linq-to-gameobject-for-unity;818
66;https://github.com/zacharypatten/dotnet-console-games;848
67;https://github.com/ucrbraingamecenter/bgc_tools;313
68;https://github.com/gamedevbill/tutorials;21
69;https://github.com/appbankgames/unity-webview;43
70;https://github.com/dongweipeng/xgameframework;23
71;https://github.com/jansedivy/opengl-game;73
72;https://github.com/frictionalgames/hpl1engine;30
73;https://github.com/yasirkula/unityingamedebugconsole;165
74;https://github.com/tkgamegroup/flame;3030
75;https://github.com/packtpublishing/learning-c-8-by-developing-games-with-unity-2020;40
76;https://github.com/unity3d-jp/easyflightgame;16
77;https://github.com/dr-jam/gameplayprogramming;427
78;https://github.com/ares5221/cocos-creator-game;36
79;https://github.com/focus-creative-games/luban;324
80;https://github.com/game-ci/unity-test-runner;210
81;https://github.com/game-ci/documentation;439
82;https://github.com/game-ci/unity-builder;481
83;https://github.com/joshualim007/ingameconsole;34
84;https://github.com/rugbugredfern/fps-game-tutorial;20
85;https://github.com/gemi-games/qmap2unity;31
86;https://github.com/atomicgameengine/atomicexamples;523
87;https://github.com/gameditor/ballz-brick-breaker-unity;18
88;https://github.com/ylmbtm/gameproject3;489
89;https://github.com/unigameteam/unigame.viewsystem;835
90;https://github.com/googleforgames/agones;2909
91;https://github.com/psygames/hotunity;29
92;https://github.com/omiyagames/template-unity-package;146
93;https://github.com/frispgames/frisp-social-unity-asset;42
94;https://github.com/luzexi/unity3dgameresource;52
95;https://www.github.com/marcelochaves95/proceduralterrain;165
96;https://github.com/bayatgames/voxelframework;12
97;https://github.com/catimmortal/ugfgamedeveloptemplate;10
98;https://github.com/real-serious-games/unity-editor-ui;14
99;https://github.com/real-serious-games/unity-scene-query;46
100;https://github.com/humbertodias/unity-real-time-strategy-game;47
101;https://github.com/rzubek/unitygametools;113
102;https://github.com/dgkanatsios/flappybirdstylegame;19
103;https://github.com/fuzzballb/unity-kart-game-boomblaster;27
104;https://github.com/muvucagames/muvucagame01;739
105;https://www.github.com/reeseschultz/reeseunitydemos;372
106;https://github.com/jasonhein/game-eye-2d;13
107;https://www.github.com/battleofmages/battleofmages;178
108;https://github.com/uclagamelab/meshcreator;155
109;https://github.com/aefreedman/sp2018_intermediategamedev;75
110;https://github.com/alexanderdykov/unity-nodejs-game;12
111;https://github.com/baste-raingames/serializableaction_unity;50
112;https://github.com/redbluegames/unity-lite-fsm;28
113;https://github.com/get-tuda-choppa/aiandgames;15
114;https://github.com/omgwtfgames/csg.cs;22
115;https://www.github.com/christides11/hack-and-slash-framework;135
116;https://www.github.com/dteruel/toolnity;258
117;https://github.com/real-serious-games/unity-async-and-promises;14
118;https://github.com/anchan828/unity-gameviewsizehelper;14
119;https://github.com/orbitalgames/unity-ui-extensions;164
120;https://github.com/microsoft-build-2016/codelabs-gamedev-2-unitywin10;44
121;https://github.com/bayatgames/savegamefree;74
122;https://github.com/double-fine-game-club/bad-golf-community-edition;248
123;https://github.com/endure-game/endure;512
124;https://github.com/dgkanatsios/angrybirdsstylegame;31
125;https://github.com/edfilms/scene-track-game-media-exporter;18
126;https://github.com/unitytech/gamestestautomationexample;30
127;https://github.com/origamestudio/admob-unity-plugin;19
128;https://github.com/omgwtfgames/unity-cardboard-photosphere;13
129;https://www.github.com/juniordiscart/impossibleodds-toolkit;157
130;https://github.com/gamephysics101/02-newtons-laws;23
131;https://www.github.com/elringus/spritedicing;222
132;https://github.com/redpointgames/unityautomaticlicensor;16
133;https://github.com/tarasosiris/unity-game-programming-patterns;29
134;https://github.com/pixelnest/tutorial-2d-game-unity;39
135;https://github.com/murkantilism/game-off-2013;24
136;https://github.com/sagivo/unity2d-game;243
137;https://github.com/microsoft-build-2016/codelabs-gamedev-1-unityintro;27
138;https://github.com/anlingbbq/mobagame;64
139;https://www.github.com/sschmid/match-one;160
140;https://github.com/galvanicgames/unity-events;44
141;https://github.com/quill18/theroyalgameofur3d;17
142;https://github.com/playemgames/unitypsdimporter;27
143;https://github.com/intro-to-game-dev-fall-2018/fall-2018-in-class-demos;26
144;https://www.github.com/marcelochaves95/meshgenerator;165
145;https://www.github.com/gustavopsantos/reflex;645
146;https://github.com/nikitachernykh/unity5-arg-game-android;20
147;https://github.com/islam0talha/unitytradingcardgame;13
148;https://github.com/unitycoder/gamejamtemplate;10
149;https://github.com/dgkanatsios/brickgame;11
150;https://github.com/gamegrind/simple-rpg-in-unity;15
151;https://github.com/invexgames/materialui;147
152;https://www.github.com/radiatoryang/merino;141
153;https://github.com/apheliagames/entitas-networking-and-database-example;10
154;https://www.github.com/virejdasani/cuboidaldrift;152
155;https://github.com/ramonsaraiva/ar-multiplayer-game;10
156;https://github.com/noelwidmer/unity3d-gameplay-framework;64
157;https://github.com/oussamabonnor1/ball-fall-game-unity2d;14
158;https://github.com/real-serious-games/rsg.unityapp;152
159;https://github.com/cmzcode/gamepadsampleunity;16
160;https://github.com/wolar-games/unity-scriptable-object-variables;30
161;https://github.com/sweetcarolinagames/umbilicus-ascension;282
162;https://github.com/javdevgames/minimalinstancing;13
163;https://github.com/jeffcampbellmakesgames/unity-jtween;83
164;https://github.com/redbluegames/rb-unity-tools;123
165;https://github.com/acoppes/deterministicgame;114
166;https://www.github.com/fbast/reflexityai;156
167;https://github.com/real-serious-games/unity-dependency-injection-example;44
168;https://www.github.com/marcelochaves95/polygon;165
169;https://www.github.com/nicholas-maltbie/openkcc;287
170;https://github.com/windowsgamessamples/unityporting;241
171;https://github.com/microsoft-build-2016/codelabs-gamedev-6-azure;51
172;https://github.com/stephenmcvicker/unity-scriptableobjects-game-events-;23
173;https://github.com/superzhan/unitybubblegame;52
174;https://www.github.com/dejaime/thats-ridiculous;291
175;https://github.com/qinzhuo/idg_game_one;37
176;https://github.com/hecomi/littai-game;30
177;https://github.com/real-serious-games/unity-android-plugin-example;20
178;https://github.com/fi-content2-games-platform/ficontent.gaming.enabler.gamesynchronization;39
179;https://github.com/omgwtfgames/unity-bowerbird;52
180;https://github.com/keenanwoodall/extrudedgameoflife;14
181;https://github.com/dgkanatsios/puzzlegameunity;13
182;https://www.github.com/jonisavo/uicomponents;520
183;https://github.com/ditzel/mobile-multiplayer-action-game-in-unity;23
184;https://github.com/yika-aixi/igameframework;71
185;https://github.com/fnggames/entitas-simple-movement-unity-example;23
186;https://github.com/dftgames/unitylocalization;30
187;https://github.com/galvanicgames/unity-pooler;19
188;https://www.github.com/digitallogicsimcommunity/digital-logic-sim-ce;235
189;https://github.com/thesecretlab/mobilegamedevwithunity1sted;137
190;https://github.com/gamebuildingblocks/unitycomponent;7
191;https://github.com/oreilly-japan/augmented-reality-game-development-ja;22
192;https://github.com/Greener-Games/Unity_Extensions;77
193;https://github.com/GameFrameX/com.gameframex.unity.operationclipboard;56
194;https://github.com/luigigamedev/Goal-AR-Goal;11
195;https://github.com/GameDevEducation/Unity_AIBehavioursPackage;49
196;https://github.com/focus-creative-games/dhe_demo;12
197;https://github.com/FireDragonGameStudio/SimpleWebRTC;106
198;https://github.com/goodcatgames/spaceinvadersecs;17
199;https://github.com/instant-games-bridge/instant-games-bridge-unity;2
200;https://github.com/aws-samples/amazon-gamelift-fleetiq-with-amazon-ecs;14
